ParticipantUID,Method,Distance,Trial,SourceFile,HoldTime,LandingOffset_x,LandingOffset_z,OutlierError,GroupMedianError,GroupIQR,UpperFence,MatchingRepetitionCount,PeerError1,PeerError2,PeerMedianError,PeerErrorRange,OutlierToPeerMedianRatio,BothPeersWithinGroupFence,PeersSimilarAtGroupIQRScale,SupportsIsolatedFailure,VeryStrongIsolatedPattern,Interpretation,RawLogPath,AimSourceRow,TeleportSourceRow,AppearSourceRow,RawSequenceVerified,ProcessedErrorMatchesRaw,TargetConsistentTeleportToAppear,PHPosAvailable,PHPosToLandingDistance,SelectedPointMatchesLanding,DirectSelectionEvidence,ErrorFractionOfNominalDistance,LargeProtocolDeviation25Percent,ProcessedHoldTime,RawAimToTeleportTime,HoldTimeMatchesRaw,RapidConfirmThresholdSeconds,VeryLowAimToTeleportTime,RecommendedExclude,DecisionReason,RepeatedGrossDeviationCount,RepeatedFailureGroup,RepeatedFailureTrialExclude
SITE1_P18,tsunami,50,4,P18_precision_tsunami_0.csv,2.95,-8.799999999999997,0.1,8.801,2.309,2.9699999999999998,8.43,2,2.1,4.851,3.4755000000000003,2.751,2.5322975111494745,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P18/P18_precision_tsunami_0.csv,12,13,14,true,true,true,true,0,true,true,0.17601136326953434,false,2.95,2.95,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P23,tsunami,200,3,P23_precision_tsunami_4.csv,2.853,12.799999999999997,-4.3,13.503,3.454,4.4595,13.39575,2,2.309,12.404,7.3565000000000005,10.094999999999999,1.8355196085094814,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE1/P23/P23_precision_tsunami_4.csv,9,10,11,true,true,true,true,0,true,true,0.0675148131894031,false,2.853,2.853,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE1_P23,tsunami,50,4,P23_precision_tsunami_4.csv,1.679,9,0.1,9.001,2.309,2.9699999999999998,8.43,2,1,3.612,2.306,2.612,3.9032957502168255,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE1/P23/P23_precision_tsunami_4.csv,12,13,14,true,true,true,true,0,true,true,0.18001111076819673,false,1.679,1.679,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE2_P02,map,50,1,P02_precision_map_4.csv,3.638,-69.60000000000001,-5.2,69.794,5.016,4.943499999999999,15.230249999999998,2,3.053,5.944,4.4985,2.891,15.514949427586973,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P02/P02_precision_map_4.csv,3,4,5,true,true,true,true,0,true,true,1.3958796509728193,true,3.638,3.638,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P02,map,100,2,P02_precision_map_4.csv,2.263,-41.8,-3.8,41.972,4.342,4.4670000000000005,13.6005,2,3.231,5.022,4.1265,1.7910000000000004,10.171331636980492,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P02/P02_precision_map_4.csv,6,7,8,true,true,true,true,0,true,true,0.4197237186531159,true,2.263,2.263,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P03,map,50,1,P03_precision_map_4.csv,14.36,-41.400000000000006,0.6,41.404,5.016,4.943499999999999,15.230249999999998,2,2.4,4.741,3.5705,2.3409999999999997,11.596134995098726,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P03/P03_precision_map_4.csv,3,4,5,true,true,true,true,0,true,true,0.8280869519561338,true,14.36,14.36,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P03,map,100,2,P03_precision_map_4.csv,5.542,-28.5,3,28.657,4.342,4.4670000000000005,13.6005,2,3.041,5.021,4.031,1.98,7.109154056065493,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P03/P03_precision_map_4.csv,6,7,8,true,true,true,true,0,true,true,0.28657459761814197,true,5.542,5.542,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P05,map,50,1,P05_precision_map_0.csv,4.375,-19.900000000000006,4.9,20.494,5.016,4.943499999999999,15.230249999999998,2,7.29,9.335,8.3125,2.045000000000001,2.4654436090225564,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P05/P05_precision_map_0.csv,4,5,6,true,true,true,true,0,true,true,0.4098877895229378,true,4.375,4.375,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,1,false,false
SITE2_P05,baseline,50,7,P05_precision_baseline_8.csv,0.819,-6.1000000000000085,0.1,6.101,1.7,2.0340000000000003,6.0875,2,1.217,3.027,2.122,1.81,2.8751178133836004,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P05/P05_precision_baseline_8.csv,21,22,23,true,true,true,false,nan,false,true,0.12201639234135733,false,0.819,0.819,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE2_P06,map,50,1,P06_precision_map_0.csv,14.43,-86.10000000000001,-6.6,86.353,5.016,4.943499999999999,15.230249999999998,2,2.022,7.018,4.52,4.996,19.104646017699114,true,false,true,false,Supports one isolated failure: both other repetitions are in range,SITE2/P06/P06_precision_map_0.csv,4,5,6,true,true,true,true,0,true,true,1.7270518231946606,true,14.43,14.43,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P06,map,100,2,P06_precision_map_0.csv,4.139,-58.599999999999994,0.8,58.605,4.342,4.4670000000000005,13.6005,2,1.676,3.225,2.4505,1.5490000000000002,23.915527443378902,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P06/P06_precision_map_0.csv,7,8,9,true,true,true,true,0,true,true,0.586054604964418,true,4.139,4.139,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P07,baseline,200,3,P07_precision_baseline_4.csv,6.958,32.199999999999996,1.3,32.226,5.036,4.6995000000000005,14.681750000000001,2,5.523,13.601,9.562000000000001,8.078000000000001,3.3702154361012338,true,false,true,false,Supports one isolated failure: both other repetitions are in range,SITE2/P07/P07_precision_baseline_4.csv,9,10,11,true,true,true,false,nan,false,true,0.16113115775665485,false,6.958,6.958,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE2_P07,map,100,5,P07_precision_map_8.csv,2.013,20.400000000000002,13.6,24.518,4.342,4.4670000000000005,13.6005,2,7.801,11.8,9.8005,3.9990000000000006,2.50170909647467,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P07/P07_precision_map_8.csv,15,16,17,true,true,true,true,0,true,true,0.2451774867315513,false,2.013,2.013,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE2_P07,baseline,100,2,P07_precision_baseline_4.csv,1.916,16.3,0.6,16.311,2.72,2.4644999999999997,7.8942499999999995,2,4.5,5.301,4.9005,0.8010000000000002,3.3284358738904194,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P07/P07_precision_baseline_4.csv,6,7,8,true,true,true,false,nan,false,true,0.16311039206623223,false,1.916,1.916,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE2_P07,tsunami,50,1,P07_precision_tsunami_0.csv,1.709,-12.5,0.9,12.532,2.309,2.9699999999999998,8.43,2,4.061,6.903,5.481999999999999,2.8419999999999996,2.286026997446188,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P07/P07_precision_tsunami_0.csv,3,4,5,true,true,true,true,0,true,true,0.25064716236175505,true,1.709,1.709,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,1,false,false
SITE2_P08,map,100,8,P08_precision_map_8.csv,1.778,13.000000000000004,-7.4,14.959,4.342,4.4670000000000005,13.6005,2,6.106,10.273,8.189499999999999,4.167,1.826607240979303,true,true,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P08/P08_precision_map_8.csv,25,26,27,true,true,true,true,0,true,true,0.14958609561052125,false,1.778,1.778,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE2_P10,map,200,9,P10_precision_map_8.csv,7.181,20.599999999999994,4.6,21.107,4.159,4.4174999999999995,13.627249999999998,2,3.8,5.867,4.8335,2.067,4.366814937415951,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P10/P10_precision_map_8.csv,27,28,29,true,true,true,true,0,true,true,0.10553672346628919,false,7.181,7.181,true,0.25,false,false,Retain: isolated outlier but below the conservative 25% distance threshold.,0,false,false
SITE2_P10,baseline,50,4,P10_precision_baseline_0.csv,0.889,-20.300000000000004,-1.7,20.371,1.7,2.0340000000000003,6.0875,2,1.005,1.118,1.0615,0.11300000000000021,19.19076778144135,true,true,true,true,Very strong: one extreme trial between two similar in-range repetitions,SITE2/P10/P10_precision_baseline_0.csv,12,13,14,true,true,true,false,nan,false,true,0.40742115801710654,true,0.889,0.889,true,0.25,false,true,Isolated upper-IQR trial; error >=25% of nominal distance; two matching repetitions in range; raw selected/landing point verified.,1,false,false
SITE2_P12,baseline,50,4,P12_precision_baseline_0.csv,0.736,-132.9,5.5,133.014,1.7,2.0340000000000003,6.0875,2,2.902,45.298,24.1,42.396,5.519253112033195,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P12/P12_precision_baseline_0.csv,12,13,14,true,true,true,false,nan,false,true,2.660275173736732,true,0.736,0.736,true,0.25,false,true,Repeated failed-manipulation group: at least two raw-verified upper-IQR trials have error >=25% of nominal distance; exclude all raw-verified upper-IQR candidates in the group.,2,true,true
SITE2_P12,baseline,50,1,P12_precision_baseline_0.csv,0.306,-44.800000000000004,6.7,45.298,1.7,2.0340000000000003,6.0875,2,2.902,133.014,67.958,130.11200000000002,0.666558756879249,false,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P12/P12_precision_baseline_0.csv,3,4,5,true,true,true,false,nan,false,true,0.9059646792232025,true,0.306,0.306,true,0.25,false,true,Repeated failed-manipulation group: at least two raw-verified upper-IQR trials have error >=25% of nominal distance; exclude all raw-verified upper-IQR candidates in the group.,2,true,true
SITE2_P12,map,100,5,P12_precision_map_8.csv,5.556,15.7,7.6,17.443,4.342,4.4670000000000005,13.6005,2,2.195,13.453,7.824,11.258,2.2294222903885483,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P12/P12_precision_map_8.csv,15,16,17,true,true,true,true,0,true,true,0.17442763542512407,false,5.556,5.556,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
SITE2_P12,tsunami,200,9,P12_precision_tsunami_4.csv,3.702,16.699999999999996,1,16.73,3.454,4.4595,13.39575,2,2.816,11.416,7.116,8.600000000000001,2.3510399100618327,true,false,false,false,"Outlier present, but the other repetitions do not uniquely support an isolated failure",SITE2/P12/P12_precision_tsunami_4.csv,27,28,29,true,true,true,true,0,true,true,0.08364956664561983,false,3.702,3.702,true,0.25,false,false,Retain: matching repetitions do not support one isolated failure.,0,false,false
