ParticipantID,Location,Method,PathID,MethodOrder,RunID,TotalPathTime,BannerDelayTime,BannerCount,MeanBannerDelayTime,NetPathTime,TeleportCount_Base,TeleportCount_Map,TeleportCount_Tsunami,TotalTeleports,TotalTraversedDistance,MeanOrientationTime,MeanAimingTime,MeanHeadDelta,MeanPostLandingDirectionalError,MedianPostLandingDirectionalError,MeanReorientationImprovement,MeanLeftControllerDirectionalError,MeanRightControllerDirectionalError,MeanLeftControllerViewingAngle,MeanRightControllerViewingAngle,MeanNearestControllerViewingAngle,ControllerDirectedAttentionRate,MeanLeftControllerViewingAngleAtMapAim,MeanRightControllerViewingAngleAtMapAim,LeftControllerViewingRateAtMapAim15,LeftControllerViewingRateAtMapAim20,LeftControllerViewingRateAtMapAim25,RightControllerViewingRateAtMapAim15,RightControllerViewingRateAtMapAim20,RightControllerViewingRateAtMapAim25,MapAimSampleCount,DirectionalSampleCount,DirectionalRecoveredFromTeleportCount
P18,SITE1,tsunami,B,1,3,76.98,12.91,6,2.15,64.07,0,0,14,14,3187.15,2.98,2.62,96.55,107.10,130.47,99.13,37.23,6.61,102.88,75.77,75.77,0.0000,,,,,,,,,0,13,0
P18,SITE1,tsunami,C,1,1,109.02,22.83,6,3.81,86.19,0,0,15,15,3222.75,4.55,2.92,122.60,128.98,151.38,125.30,49.94,5.98,104.55,74.28,74.28,0.0000,,,,,,,,,0,14,0
P19,SITE1,baseline,A,3,11,58.07,16.22,6,2.70,41.85,99,0,0,99,3113.49,0.44,0.14,8.96,14.96,5.74,7.10,56.83,9.97,89.39,65.25,65.25,0.0000,,,,,,,,,0,98,0
P19,SITE1,baseline,B,3,9,78.50,28.59,6,4.76,49.91,62,0,0,62,2980.00,0.84,0.36,10.87,16.31,3.74,9.95,52.63,5.52,79.23,60.11,60.11,0.0000,,,,,,,,,0,61,0
P19,SITE1,baseline,C,3,10,46.73,9.61,6,1.60,37.12,67,0,0,67,3048.08,0.50,0.19,15.38,21.26,2.80,14.04,62.26,9.06,80.34,71.34,70.65,0.0000,,,,,,,,,0,66,0
P19,SITE1,map,A,2,5,51.20,26.63,6,4.44,24.57,0,7,0,7,2994.73,4.23,2.90,17.58,54.62,47.05,11.89,38.29,43.93,33.16,45.34,30.76,0.1667,33.16,45.34,0.0000,0.1667,0.3333,0.0000,0.0000,0.0000,6,6,0
P19,SITE1,map,B,2,6,42.41,17.96,6,2.99,24.45,0,7,0,7,2881.10,3.74,2.82,14.14,45.51,18.71,3.59,52.48,46.54,35.15,50.93,35.15,0.0000,35.15,50.93,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,6,6,0
P19,SITE1,map,C,2,7,51.73,18.77,6,3.13,32.96,0,7,0,7,2894.82,3.79,4.11,17.56,66.36,60.67,4.36,104.87,61.74,35.87,46.06,33.27,0.0000,35.87,46.06,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
P19,SITE1,tsunami,A,1,2,43.27,9.04,6,1.51,34.23,0,0,17,17,3116.94,1.39,0.96,69.31,83.04,78.98,62.83,58.40,20.38,77.13,53.88,53.85,0.0000,,,,,,,,,0,16,0
P19,SITE1,tsunami,B,1,3,31.08,8.24,6,1.37,22.84,0,0,14,14,2919.61,1.33,0.92,49.08,49.39,27.91,43.01,51.81,5.45,77.76,62.96,62.24,0.0000,,,,,,,,,0,13,0
P19,SITE1,tsunami,C,1,1,35.01,9.52,6,1.59,25.49,0,0,13,13,2931.55,1.65,1.08,48.07,49.20,30.31,45.48,27.83,4.83,83.98,53.29,53.29,0.0000,,,,,,,,,0,12,0
P20,SITE1,baseline,A,2,5,78.06,7.00,6,1.17,71.06,30,0,0,30,3129.89,0.94,1.67,35.48,35.48,5.93,31.41,23.72,5.63,77.77,54.38,53.32,0.0000,,,,,,,,,0,29,0
P20,SITE1,baseline,B,2,6,60.04,6.77,6,1.13,53.28,37,0,0,37,2942.79,0.77,0.80,18.28,23.60,3.78,14.85,22.69,8.39,66.24,52.43,51.63,0.0000,,,,,,,,,0,36,1
P20,SITE1,baseline,C,2,7,58.65,7.52,6,1.25,51.13,35,0,0,35,3113.66,0.78,0.78,25.93,33.49,13.22,23.66,31.84,13.80,75.94,59.19,57.62,0.0000,,,,,,,,,0,34,1
P20,SITE1,map,A,1,2,38.75,12.15,6,2.03,26.60,0,7,0,7,2995.73,2.81,3.08,34.47,74.47,60.69,34.48,59.66,48.57,59.94,51.13,44.78,0.0000,59.94,51.13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6,6,0
