ParticipantUID,ParticipantID,Location,Method,MethodOrder,SourceFile,Run,Trial,Distance,HoldTime,CompletionTime,AimingRatio,AimingSpeed,LandingPos_x,LandingPos_z,AimingError,RecommendedExclude,RepeatedFailureGroup,RepeatedFailureTrialExclude,DecisionReason
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,8,100,2.306,4.486,0.5140,43.3651,29.000,-3.300,4.264,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,map,3,P10_precision_map_8.csv,8,9,200,2.458,4.527,0.5430,81.3670,-69.700,3.600,3.863,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,1,50,1.355,1.355,1.0000,36.9004,87.600,-0.300,5.908,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,2,100,2.411,4.374,0.5512,41.4766,33.500,0.900,2.012,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,3,200,2.797,5.000,0.5594,71.5052,-70.700,1.800,3.000,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,4,50,2.173,4.697,0.4626,23.0097,87.200,0.500,5.523,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,5,100,2.358,5.026,0.4692,42.4088,39.000,1.000,7.368,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,6,200,3.334,6.066,0.5496,59.9880,-64.400,0.400,3.920,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,7,50,2.135,4.632,0.4609,23.4192,81.200,0.500,0.707,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,8,100,2.578,5.008,0.5148,38.7898,32.600,0.700,1.140,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P10,P10,SITE1,tsunami,2,P10_precision_tsunami_4.csv,4,9,200,2.717,5.421,0.5012,73.6106,-65.800,-1.800,3.081,false,false,false,Retain: not an upper-IQR candidate.
